image,caption,orig_idx
images/001226162.jpg,female yoga in the scorpion pose on the azure background .,0
images/001606136.jpg,red fox standing on a rural road,1
images/001086995.jpg,"every time when these arts pop out , i just feel so excited ~",2
images/002397549.jpg,actor attends the premiere during festival .,3
images/001385659.jpg,an april morning at - skiing,4
images/000527246.jpg,woman swinging on rope swing by the ocean,5
images/000011392.jpg,person and actor attend the los angeles premiere .,6
images/001035129.jpg,vehicles stopped on the beach,7
images/002857948.jpg,children enjoy a snowball fight near a canal .,8
images/001459682.jpg,flowering water lilies in a pond,9
images/002056606.jpg,female boxers fighting in a boxing ring,10
images/003142183.jpg,snow falling on the trees - illustration,11
images/002214159.jpg,a city is second largest city .,12
images/000454862.jpg,a nation 's culture resides in the hearts and in the soul of its people .,13
images/001248829.jpg,big boulders on the trail,14
images/002323583.jpg,industry dragging its gear in the fog,15
images/000795124.jpg,tower cranes at the regeneration,16
images/001706826.jpg,"food - full of fresh cranberries , orange zest and walnuts .",17
images/000421894.jpg,"a cup of wine with fire on the background , romantic meal .",18
images/001223523.jpg,a 3d rendered illustration showing a rise,19
images/000372353.jpg,a city on the municipalities map,20
images/001844653.jpg,the nostalgia of seeded watermelon - healthy benefits !,21
images/002787408.jpg,vector silhouette of a man who plays football .,22
images/002627926.jpg,located is the center of religion .,23
images/000648128.jpg,"coffee cup , smartphone and headphones on a window sill .",24
images/002477152.jpg,people choose the food in the restaurant,25
images/002786577.jpg,artist perform during person featuring indie rock artist .,26
images/000474838.jpg,view of a high resolution green tree isolated on a white background,27
images/002981785.jpg,philantropist closing the runway at the presentation during olympus fashion week .,28
images/001435924.jpg,actor and her dog attends the premiere,29
images/002654007.jpg,the world globe listening to music on funky headphones .,30
images/001667765.jpg,wrap around : the man reached out and grabbed the singer as she sat on the stage delivering a song,31
images/000981900.jpg,is this suit alright ? asks film character .,32
images/002096407.jpg,the delicate exotic white flower of a christmas cactus growing in a greenhouse,33
images/001101760.jpg,infinite pattern with the inscription .,34
images/000113566.jpg,painting a white spider web on the sticky side of the contact paper,35
images/000528603.jpg,road through a golden foggy forest,36
